conf,id,Ead,xV,xN,xH,Z,rmsd,rmaxsd,dminN,dminH,M,chi,q,mu,Eg,CNN,dCNN,CNS,dCNS,aminS,amaxS,aminN,amaxN,adispN,adispH,lmin,lmax
1N_3H_14x0_pyrrolic_SW_B,0,-0.05585649827493217,0.0,0.4464285714285714,1.3392857142857142,6,0.057197336902659844,0.48708804315,1.4477766543485717,2.756109194028506,2,0.0,0.175,0.077,0.94989,3.333333333333333,0.33333333333333304,3.0,1.0,2.019470635463507,2.1947943936985257,1.7995227181657054,2.3990709156109595,0.11663003475744546,0.32156361112280435,1.4427709761084655,1.4621077011617136
1N_3H_14x0_pyrrolic_SW_B,1,1.351600760022584,0.0,0.4464285714285714,1.3392857142857142,6,0.033485297088140284,0.3862360543500003,6.672002574900522,4.396002438377688,2,0.0,0.004,-0.06,0.94989,3.333333333333333,0.0,3.0,1.0,2.0602880576961806,2.1134911538911956,1.7995227181657054,2.3990709156109595,2.2592700887945885,2.281035039639415,1.4162013317301743,1.4337361897518566
1N_3H_14x0_pyrrolic_SW_B,2,0.6725640553301557,0.0,0.4464285714285714,1.3392857142857142,6,0.059444938900995455,0.4821151205499987,5.129232598997511,5.66937724201607,2,0.0,-0.005,-0.077,0.94989,3.333333333333333,0.0,3.0,1.0,2.028450161895983,2.131539725224918,1.7995227181657054,2.3990709156109595,0.5390493112391438,0.15980494752424018,1.4305042675103565,1.454551312784303
1N_3H_14x0_pyrrolic_SW_B,3,0.8261743069276611,0.0,0.4464285714285714,1.3392857142857142,6,0.05308928407797724,0.42145186785000144,7.322280411960709,6.559572645423156,2,0.0,-0.002,0.07,0.94989,3.333333333333333,0.0,3.0,1.0,2.074482514743783,2.1162712821289,1.7995227181657054,2.3990709156109595,2.8217684525790143,2.6215645721613186,1.4296054887228056,1.4433384542460828
2N_3H_14x0_graphitic,0,-0.1199338978271065,0.0,0.8928571428571428,1.3392857142857142,6,0.03219677583909871,0.35893109459999906,2.432626369793976,1.430442337521793,1,0.0,-0.041,0.0,0.537256,3.0,0.0,3.333333333333333,1.0,2.0426272840710893,2.1211213916507075,2.0816399456597003,2.1029342687447503,1.5798121571067814,2.0379564388405846,1.4030009144632227,1.5193181137160114
2N_3H_14x0_graphitic,1,1.2637995081544722,0.0,0.8928571428571428,1.3392857142857142,7,0.034518172482072666,0.4351198627999979,0.0,3.83251517693612,1,0.0,-0.217,-0.0,0.537256,3.0,1.0,3.0,1.0,2.0816399456597003,2.1029342687447503,2.0816399456597003,2.1029342687447503,nan,1.7440426752189393,1.4031873480399346,1.4305599127488735
2N_3H_14x0_graphitic,2,0.7284300949893694,0.0,0.8928571428571428,1.3392857142857142,6,0.26980971485325567,0.5153319615999985,7.126417068500632,6.700076351770685,1,0.0,-0.004,0.0,0.537256,3.333333333333333,0.0,3.0,1.0,2.073478470659466,2.0975349819570015,2.020680003025731,2.148526599494309,1.0221095984678148,0.8763867353513584,1.4255059943872024,1.4324939878506504
2N_3H_14x0_graphitic,3,0.4638641057907016,0.0,0.8928571428571428,1.3392857142857142,6,0.3991921982190136,0.7512589353999983,7.603372037078112,6.881895133495361,1,0.0,-0.007,0.0,0.537256,3.333333333333333,0.0,3.0,1.0,2.076209770576563,2.096578849321211,2.020680003025731,2.148526599494309,1.3673392174216494,1.24986324956284,1.4235559884353448,1.4319395356045603
3N_3H_14x0_pyridinic,0,-0.045097829139882126,0.4464285714285714,1.345291479820628,1.345291479820628,6,0.19041717675800157,0.41327500765000025,1.3703888444612824,1.3703888444612824,2,0.0,0.215,0.062,0.637156,3.0,0.33333333333333304,3.0,1.0,2.031274473174839,2.145753967664714,2.013723975515806,2.1775812534729715,2.949346879785781,2.949346879785781,1.3904414198033925,1.4293508186004735
3N_3H_14x0_pyridinic,1,1.1039626380374945,0.4464285714285714,1.345291479820628,1.345291479820628,6,0.25585912646169306,0.49392691439999936,6.581225068821652,6.581225068821652,2,0.0,-0.006,-0.052,0.637156,3.0,0.0,3.0,1.0,2.0768237780076304,2.0978603463705086,1.8922128426936906,2.146304084276801,1.2417932064435828,1.2417932064435828,1.425643935794235,1.4300774411667898
3N_3H_14x0_pyridinic,2,0.46070729886995393,0.4464285714285714,1.345291479820628,1.345291479820628,6,0.15024829289566533,0.2976235015499995,1.359415032943907,3.018487260959739,2,0.0,0.219,0.052,0.637156,2.0,0.33333333333333304,2.6666666666666665,1.0,2.044202356866941,2.1166851631344956,2.1169739367015943,4.166211370477992,3.0863398675797247,2.009930327569844,1.361052563927398,1.465197127681297
3N_3H_14x0_pyridinic,3,0.789702708475344,0.4464285714285714,1.345291479820628,1.345291479820628,6,0.1520799447308853,0.31478881299999983,4.254863616810553,4.980243775531015,2,0.0,-0.007,-0.055,0.637156,2.0,0.0,3.0,1.0,2.0610380402353528,2.1089074155626126,2.1169739367015943,4.166211370477992,3.1185205262139237,2.566146492576914,1.4257518732695522,1.434011183036274
4N_3H_14x0_pyridinic,0,0.09508165237192764,0.8928571428571428,1.8018018018018018,1.3513513513513513,7,0.2642755350048216,0.5239765619499996,0.0,2.6373556804799207,1,0.0,-0.592,0.0,0.692737,2.0,1.0,2.0,1.0,2.094998101086873,4.188187206092714,2.094998101086873,4.188187206092714,nan,1.584888898921433,1.3599267876853756,1.375364606691571
4N_3H_14x0_pyridinic,1,1.0324753530943596,0.8928571428571428,1.8018018018018018,1.3513513513513513,6,0.04099364774609672,0.40153824509999936,2.387312240026736,2.387312240026736,1,0.0,-0.017,-0.0,0.692737,3.0,0.0,3.0,1.0,2.0831047035429053,2.0971242767300695,1.9550422074378953,2.167059320879978,1.5488603085459998,1.5488603085459998,1.42300617461793,1.435289402836197
4N_3H_14x0_pyridinic,2,0.5774588768391661,0.8928571428571428,1.8018018018018018,1.3513513513513513,6,0.3875397238337675,0.7054164945500023,2.4495231035125955,2.4495231035125955,1,0.0,-0.079,0.0,0.692737,3.0,0.0,3.0,1.0,2.0630643717004338,2.0928738762968275,1.9550422074378953,2.167059320879978,2.565181239690032,2.565181239690032,1.4360746996552136,1.4606146975202314
4N_3H_14x0_pyridinic,3,0.701993170195293,0.8928571428571428,1.8018018018018018,1.3513513513513513,6,0.3300827524876263,0.6280828805000009,4.240686673531337,4.240686673531337,1,0.0,-0.015,0.0,0.692737,3.0,0.0,3.0,1.0,2.0478495994163675,2.117528997243633,1.9532798928914137,2.166630244388651,0.03492447101844477,0.03492447101844477,1.4289118348935104,1.436983735299643
1N_3H_8x8_graphitic,0,-0.43506190577265785,0.0,0.4464285714285714,1.3392857142857142,6,0.05178729257251661,0.4384125959000036,3.8620428472702155,1.484977646719817,2,0.5235987755982988,0.002,0.149,1.23493,3.333333333333333,0.0,3.333333333333333,1.0,2.045642951610351,2.1550465160904184,2.034231428378178,2.1604391703373618,0.18846084175364228,0.603464217217128,1.4013326769595924,1.5239452158331477
1N_3H_8x8_graphitic,1,1.4472904536872193,0.0,0.4464285714285714,1.3392857142857142,6,0.0260989200313717,0.34620300990000086,4.9939726182551665,4.455379478459978,2,0.5235987755982988,-0.001,-0.024,1.23493,3.333333333333333,0.0,3.0,1.0,2.082263339718371,2.0968871813842394,2.034231428378178,2.1604391703373618,1.0274999005873968,1.5753433147152518,1.42467869398919,1.4307869109847744
1N_3H_8x8_graphitic,2,0.5402522149065507,0.0,0.4464285714285714,1.3392857142857142,6,0.021645441301348663,0.34494168185000085,7.13755245346301,8.659049139815213,2,0.5235987755982988,-0.002,0.055,1.23493,3.333333333333333,0.0,3.0,1.0,2.0796485540306633,2.100546231071154,2.034231428378178,2.1604391703373618,2.6170801889371256,2.599903088260018,1.429075971533874,1.433023068282183
1N_3H_8x8_graphitic,3,1.028793805082832,0.0,0.4464285714285714,1.3392857142857142,6,0.030378944723240448,0.39634530525000056,5.182099656635671,3.8806480448525456,2,0.5235987755982988,0.003,0.03,1.23493,3.333333333333333,0.0,3.0,1.0,2.0808080081412728,2.0976821606805847,2.034231428378178,2.1604391703373618,0.7501012531461245,1.2497076292940144,1.4249797113225537,1.4335907910736663
1N_3H_8x8_pyridinic,0,-0.6090915777578467,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.03633253533634839,0.30023885670000006,2.3784560308998057,1.4850623870575534,2,0.5235987755982988,0.016,0.151,0.904159,3.333333333333333,0.0,3.333333333333333,1.0,2.0515539915239303,2.1240958206638676,1.9878341465378648,2.0759679714235437,2.957641074186657,2.579629856584043,1.3983497164725294,1.505085801464542
1N_3H_8x8_pyridinic,1,1.235480525060444,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.020216014671197283,0.3066520536499997,5.311955814642043,4.326617828178317,2,0.5235987755982988,0.0,-0.013,0.904159,3.333333333333333,0.0,3.0,1.0,2.0645096166755663,2.1153602538972023,1.9878341465378648,2.0759679714235437,1.7507007840229214,1.53342831982832,1.421609571285028,1.4371035817299174
1N_3H_8x8_pyridinic,2,0.29816252386419007,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.029547732477214962,0.35149828680000006,6.449188484662143,5.0995369230863465,2,0.5235987755982988,0.003,0.065,0.904159,3.333333333333333,0.0,3.0,1.0,2.0641189227379484,2.1109326994097386,1.9878341465378648,2.0759679714235437,2.7309642549950923,2.805132539480716,1.423777907485557,1.4404179293208097
1N_3H_8x8_pyridinic,3,0.8944482917218131,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.01722495332911801,0.26194860684999943,2.7036972057419058,2.525370524224253,2,0.5235987755982988,0.004,-0.049,0.904159,3.333333333333333,0.0,3.0,1.0,2.0651978768131936,2.0948763394038443,1.9878341465378648,2.0759679714235437,2.6033356339837486,2.0916462606679698,1.3983497164725294,1.4393257701188626
1N_3H_8x8_pyrrolic,0,-1.7625779190197348,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.0534171246485762,0.21896722749999853,2.7382229126193587,2.694345094071676,2,0.5235987755982988,-0.268,0.749,1.37172,3.0,0.0,2.0,1.0,2.219244105657824,4.063941201521763,1.9521422580670287,2.201420046586709,2.069576403732518,3.0207406753786934,1.3860100292704496,1.3912988456489352
1N_3H_8x8_pyrrolic,1,1.6164085660308487,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.2518058649154348,0.4661614841000006,3.7250988604918764,3.7250988604918764,2,0.5235987755982988,0.01,-0.011,1.37172,3.0,0.0,3.0,1.0,2.0631098604038804,2.104873177303741,1.9521422580670287,2.201420046586709,2.9727674416522065,2.9727674416522065,1.4316897982730457,1.4341363352389733
1N_3H_8x8_pyrrolic,2,-0.6092589793701708,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.30725480059682175,0.7310661298000003,10.954753652038944,8.521219879910214,2,0.5235987755982988,-0.002,0.004,1.37172,3.0,-1.0,3.0,1.0,2.082237005913649,2.094661664456892,1.9521422580670287,2.201420046586709,2.509713892445007,2.7389773903529853,1.4264213531305556,1.429633347525656
1N_3H_8x8_pyrrolic,3,-0.1715052824037601,0.4464285714285714,0.4484304932735426,1.345291479820628,6,0.14084635680466281,1.2205811993499998,2.3865852027708176,2.3865852027708176,2,0.5235987755982988,-0.025,0.006,1.37172,3.0,-1.0,3.0,1.0,2.083879799350604,2.0930067580997065,1.9521422580670287,2.201420046586709,1.0152626302307564,1.0152626302307564,1.4253225672980914,1.4326694568534302
1N_3H_8x8_pyrrolic_SW_A,0,-0.7917780003976188,0.0,0.4464285714285714,1.3392857142857142,6,0.11869209975253431,0.2664276304000017,3.3937158053600807,1.4831595455418511,2,0.5235987755982988,0.014,0.206,1.356044,3.333333333333333,0.0,3.333333333333333,1.0,1.9684005753199534,2.161173402753229,1.8805286042038294,1.968166613270827,0.3342076909263006,0.4080863257745569,1.3757299431947716,1.4842877501563037
1N_3H_8x8_pyrrolic_SW_A,1,1.629331520820103,0.0,0.4464285714285714,1.3392857142857142,6,0.01557018752018344,0.1968115173999978,3.0808413711197984,2.7093256694852372,2,0.5235987755982988,0.0,-0.068,1.356044,3.333333333333333,0.0,3.0,1.0,2.034210095630839,2.1972057608586355,1.8805286042038294,1.968166613270827,0.9052859933582269,1.287180761728639,1.4190485022275607,1.456670378006307
1N_3H_8x8_pyrrolic_SW_A,2,0.3820325178444728,0.0,0.4464285714285714,1.3392857142857142,6,0.025693008327207965,0.3957265922999973,3.482023555143711,4.583315996614988,2,0.5235987755982988,0.011,0.054,1.356044,3.333333333333333,0.0,3.0,1.0,2.02170423281249,2.156010469468326,1.8805286042038294,1.968166613270827,2.686346320585624,2.8213943538410593,1.3859425414128426,1.4205203246975777
1N_3H_8x8_pyrrolic_SW_A,3,1.3706009859631354,0.0,0.4464285714285714,1.3392857142857142,6,0.24454786124893169,0.4681379306000002,6.681865682874774,6.630969970628884,2,0.5235987755982988,0.0,0.018,1.356044,3.333333333333333,0.0,3.0,1.0,2.0842675332028713,2.0941269734391046,1.8805286042038294,1.968166613270827,1.6669464025972094,1.9886090921643826,1.4275169215789518,1.428436915720997
1N_3H_8x8_pyrrolic_SW_B,0,-0.45414460982068217,0.0,0.4464285714285714,1.3392857142857142,6,0.06828447605468133,0.5125498691000008,3.724847866052861,1.462386115790269,2,0.5235987755982988,0.002,0.154,1.364981,3.333333333333333,0.0,3.333333333333333,1.0,1.9975376844963644,2.1972176972951236,1.8305370033869741,2.188733880839369,2.98527784685736,2.5051786000516096,1.3980325923355517,1.5075207418301158
1N_3H_8x8_pyrrolic_SW_B,1,1.612625548011079,0.0,0.4464285714285714,1.3392857142857142,6,0.03971313707114086,0.4244718551000002,2.4296024483827097,2.4649142147379663,2,0.5235987755982988,-0.029,-0.039,1.364981,3.333333333333333,0.0,3.0,1.0,2.0724212617405846,2.1317119381992824,1.8305370033869741,2.188733880839369,2.0503870436676066,1.0126944896771182,1.4127661530100768,1.4373452599989975
1N_3H_8x8_pyrrolic_SW_B,2,0.5045993723942265,0.0,0.4464285714285714,1.3392857142857142,6,0.07679710033863824,0.5784152802000007,4.118599837585719,5.307804941276153,2,0.5235987755982988,-0.014,0.031,1.364981,3.333333333333333,0.0,3.0,1.0,1.914169385336767,2.144069957552465,1.8305370033869741,2.188733880839369,0.13096013142879726,0.09276746684437584,1.3818487683389191,1.4262320843843774
